Wavelength,20.0,22.0,24.0,26.0,28.0,30.0,32.0,34.0,36.0,38.0,40.0,42.0,44.0,46.0,48.0,50.0,52.0,54.0,56.0,58.0,60.0,62.0,64.0,66.0,68.0,70.0,72.0,74.0,76.0,78.0,80.0,82.0,84.0,86.0,88.0,90.0,92.0,94.0,96.0,98.0,100.0
330.0,0.690073,0.594515,0.55885,0.53923,0.518909,0.572465,0.529252,0.535038,0.553952,0.578594,0.615396,0.599001,0.598129,0.521206,0.58463,0.549599,0.580404,0.602872,0.523112,0.500564,0.508665,0.473675,0.462383,0.452004,0.427164,0.452789,0.430922,0.45392,0.489877,0.493656,0.369092,0.482802,0.474593,0.412534,0.449928,0.433836,0.416314,0.422019,0.356426,0.416018,0.359595
329.5,0.690435,0.605249,0.545716,0.544413,0.530282,0.549292,0.512822,0.514569,0.552011,0.59967,0.625183,0.601897,0.598848,0.519017,0.577216,0.537235,0.575467,0.604657,0.5441,0.511669,0.502561,0.476797,0.421921,0.453695,0.455033,0.43755,0.444836,0.448509,0.485369,0.484736,0.402036,0.480866,0.474701,0.424608,0.454074,0.441275,0.443013,0.404459,0.364644,0.390242,0.364532
329.0,0.697104,0.613594,0.539834,0.542031,0.5522,0.523191,0.511314,0.504031,0.539964,0.604565,0.622541,0.600647,0.592043,0.531511,0.585907,0.54389,0.56643,0.612619,0.545288,0.512455,0.511338,0.480524,0.411955,0.464398,0.461613,0.456915,0.47477,0.441575,0.506257,0.482867,0.408866,0.471653,0.470591,0.426925,0.445359,0.448967,0.440004,0.402753,0.397843,0.378232,0.359207
328.5,0.68736,0.599005,0.534644,0.524888,0.520019,0.512783,0.497171,0.504198,0.544028,0.59938,0.621365,0.589038,0.583251,0.536599,0.586902,0.543401,0.563792,0.606096,0.52873,0.521813,0.506663,0.466812,0.409982,0.446037,0.454368,0.46981,0.454406,0.429242,0.514101,0.480349,0.407167,0.476281,0.479963,0.44101,0.425127,0.451567,0.44867,0.423389,0.416523,0.403924,0.375066
328.0,0.689045,0.607496,0.542317,0.513248,0.51441,0.496625,0.485801,0.506105,0.547135,0.585067,0.634261,0.582159,0.595377,0.530009,0.589668,0.537625,0.56521,0.603664,0.529242,0.53405,0.511624,0.471372,0.408896,0.458195,0.448045,0.472435,0.457988,0.431725,0.507298,0.485958,0.400102,0.473911,0.487527,0.45505,0.417484,0.442674,0.456393,0.439601,0.426258,0.41833,0.381205
327.5,0.689428,0.616657,0.537546,0.523412,0.501708,0.488638,0.470129,0.502105,0.535986,0.590396,0.630522,0.590622,0.596263,0.543587,0.591348,0.530173,0.574834,0.624653,0.545992,0.525627,0.491664,0.472533,0.424356,0.448188,0.434571,0.452507,0.458297,0.446161,0.482753,0.49322,0.416614,0.469291,0.482725,0.460999,0.405838,0.432824,0.444778,0.453531,0.411712,0.406684,0.374616
327.0,0.670414,0.651876,0.531721,0.530833,0.510353,0.467749,0.469352,0.492722,0.531645,0.579804,0.619327,0.584248,0.589464,0.534227,0.602647,0.54372,0.584474,0.614808,0.553704,0.53402,0.502517,0.464507,0.428221,0.448325,0.438557,0.45152,0.448666,0.471227,0.475854,0.479815,0.420291,0.4706,0.465826,0.468687,0.413402,0.443012,0.440208,0.448497,0.418102,0.418823,0.390098
326.5,0.680347,0.607382,0.518823,0.522907,0.506739,0.456796,0.480799,0.509802,0.530887,0.579915,0.620913,0.60632,0.595319,0.534285,0.586658,0.579348,0.574167,0.60725,0.585818,0.529049,0.506019,0.473523,0.44864,0.433871,0.442642,0.453436,0.435473,0.466658,0.4748,0.472262,0.433683,0.479965,0.470035,0.456763,0.426474,0.429364,0.45432,0.439375,0.4186,0.430851,0.407294
326.0,0.685047,0.609274,0.517203,0.522984,0.495034,0.447159,0.486679,0.520222,0.527599,0.588435,0.591422,0.615549,0.594624,0.539289,0.604189,0.576774,0.584436,0.611581,0.604031,0.525465,0.524794,0.491156,0.458478,0.441874,0.439867,0.453656,0.431505,0.454109,0.469988,0.46182,0.429896,0.486419,0.476146,0.443897,0.423563,0.432615,0.439119,0.431619,0.417204,0.441764,0.423238
325.5,0.672441,0.61238,0.52946,0.514454,0.469714,0.457287,0.501105,0.517318,0.51528,0.597741,0.600785,0.631127,0.592528,0.544382,0.602236,0.55779,0.579057,0.622462,0.603873,0.52285,0.520226,0.499115,0.45393,0.439232,0.443836,0.462816,0.396336,0.454145,0.455321,0.446074,0.445527,0.483939,0.486325,0.446427,0.421119,0.442087,0.443157,0.430819,0.416674,0.461279,0.43479
325.0,0.683554,0.617013,0.53218,0.538273,0.451206,0.470445,0.49909,0.514188,0.511579,0.607624,0.605321,0.611145,0.577869,0.541786,0.601095,0.553694,0.583982,0.638952,0.573783,0.520445,0.513721,0.508778,0.438366,0.459055,0.440298,0.494878,0.3927,0.460501,0.469933,0.447983,0.446474,0.486449,0.480132,0.461643,0.419631,0.426841,0.439875,0.420697,0.408359,0.456903,0.423642
