T_kelvin,T_celsius,V1_exp,V1_fit,V1_resid,V2_exp,V2_fit,V2_resid,V3_exp,V3_fit,V3_resid
293.15,20.0,0.179252407980976,0.1784862868869412,0.0007661210940347885,-0.0569816054520169,-0.05522934071949995,-0.0017522647325169532,0.3325196880519218,0.2596903399877081,0.0728293480642137
295.15,22.0,0.1788318004285595,0.1783912679335184,0.0004405324950411127,-0.0685735020703105,-0.05405784409628791,-0.014515657974022593,0.2610073338368625,0.24889322793757737,0.012114105899285105
297.15,24.0,0.1789243009410405,0.1782861432383736,0.0006381577026668972,-0.0714049336755978,-0.05276175536372418,-0.01864317831187362,0.2368644389627603,0.23694781762977452,-8.33786670142167e-05
299.15,26.0,0.1784457448060593,0.17817058185330534,0.0002751629527539545,-0.0576263711737411,-0.05133699726910191,-0.006289373904639191,0.2557414265993838,0.2238165389592355,0.03192488764014831
301.15,28.0,0.1786204496599313,0.17804440069142513,0.0005760489685061598,-0.0694432808053632,-0.049781318869745995,-0.019661961935617207,0.2321029347664262,0.2094786627024952,0.022624272063931
303.15,30.0,0.1797349167782044,0.1779075918994306,0.0018273248787738228,-0.0479457394766918,-0.04809463642893071,0.0001488969522389083,0.2008223353909097,0.193933451338672,0.006888884052237698
305.15,32.0,0.1791861604635321,0.17776034612748642,0.0014258143360456887,-0.0554112380281805,-0.04627932707060201,-0.009131910957578489,0.1920081343548366,0.1772028832032816,0.01480525115155501
307.15,34.0,0.1797530356358053,0.17760306906878032,0.0021499665670249857,-0.0454237108964505,-0.044340445856836976,-0.0010832650396135277,0.1701221267339619,0.159333687614654,0.010788439119307908
309.15,36.0,0.1793262306533531,0.17743638845867168,0.0018898421946814126,-0.0189250354497247,-0.0422858373393348,0.0233608018896101,0.1064364987693647,0.14039843907178395,-0.03396194030241925
311.15,38.0,0.1798703631703993,0.17726114860672576,0.002609214563673551,-0.0370722970949793,-0.04012611593946821,0.003053818844488909,0.1038065345421883,0.12049550147059176,-0.016688966928403465
313.15,40.0,0.1789132630878396,0.17707838933164063,0.0018348737561989792,-0.0210971829878467,-0.037874495419397906,0.016777312431551207,0.0459317165733444,0.09974768975038868,-0.053815973177044285
315.15,42.0,0.1789027661125525,0.17688930556663143,0.002013460545921081,-0.0149669170697502,-0.03554645500694488,0.020579537937194678,0.0340402773096119,0.07829962219616515,-0.044259344886553253
317.15,44.0,0.1789592607311956,0.17669518235710593,0.0022640783740896786,-0.0604823509591446,-0.03315923611858157,-0.02732311484056303,0.0603686171575629,0.05631386199395533,0.004054755163607572
319.15,46.0,0.1790200312228273,0.17649729660907645,0.0025227346137508544,-0.0366777366597377,-0.030731165546042834,-0.005946571113694864,0.0094979104815024,0.03396607785829375,-0.024468167376791354
321.15,48.0,0.1783402880968662,0.17629677041298086,0.002043517683885332,-0.0230814204726459,-0.02828079353149112,0.0051993730588452206,0.0271687862329115,0.011439576261252027,0.015729209971659473
323.15,50.0,0.1783020075117988,0.17609434899855725,0.0022076585132415616,-0.0022172574754734,-0.025825811833646958,0.023608554358173557,-0.0215832364590568,-0.011080338556128139,-0.010502897902928663
325.15,52.0,0.1774019719057893,0.17589005622438617,0.001511915681403131,-0.0054268205895493,-0.02338166894493457,0.01795484835538527,-0.0454322853089466,-0.033411637876872124,-0.012020647432074476
327.15,54.0,0.1769986871128933,0.17568264717265303,0.0013160399402402656,-0.0188700520238394,-0.020959714931268955,0.002089662907429554,-0.0569643399058606,-0.05537986310092902,-0.001584476804931581
329.15,56.0,0.1769594601524774,0.17546872364801863,0.0014907365044587728,-0.0350232307789063,-0.01856456950624584,-0.016458661272660463,-0.1108372911968932,-0.07682073827277999,-0.03401655292411321
331.15,58.0,0.1762240678015245,0.17524129344322298,0.0009827743583015192,-0.0348706849942107,-0.01619018864940724,-0.018680496344803458,-0.082960512483984,-0.09758024059575532,0.014619728111771313
333.15,60.0,0.1757417322712859,0.17498742306625648,0.0007543092050294187,-0.0288109052268607,-0.01381377193304334,-0.014997133293817362,-0.1058636986218367,-0.11751098007132584,0.011647281449489136
335.15,62.0,0.1749974910310689,0.17468443726272312,0.00031305376834578347,-0.0233484184739464,-0.011386160226475255,-0.011962258247471144,-0.0972128412123502,-0.13646323316687772,0.03925039195452752
337.15,64.0,0.174330597281192,0.17429383944338267,3.675783780932029e-05,-0.0152008488634055,-0.008816680943155924,-0.006384167920249576,-0.1128799039204502,-0.15426816302241614,0.04138825910196593
339.15,66.0,0.1735660277247128,0.1737517675246222,-0.0001857397999094068,-0.023551156630468,-0.005949515798070204,-0.017601640832397798,-0.2210423907982888,-0.17070959823270515,-0.05033279256558365
341.15,68.0,0.1733790367611268,0.1729544361301926,0.000424600630934191,-0.0223928101826631,-0.002527789297776407,-0.019865020884886692,-0.1685974751090136,-0.1854793896041047,0.016881914495091105
343.15,70.0,0.1718306921927941,0.17173693233234097,9.375986045312423e-05,-0.0166636299190192,0.0018585845970908643,-0.018522214516110063,-0.1450897909047029,-0.19811056469939425,0.05302077379469136
345.15,72.0,0.1697911435687445,0.16984470579105293,-5.3562222308428664e-05,0.0014148735468764,0.007842772406280361,-0.006427898859403962,-0.2083758270208007,-0.20788446953901277,-0.0004913574817879407
347.15,74.0,0.1670083968687949,0.1669008812434378,0.00010751562535710191,0.0061074692559873,0.016360605712802373,-0.010253136456815073,-0.2054566982842894,-0.21371810736699043,0.008261409082701038
349.15,76.0,0.1630994522116718,0.16238223102681412,0.0007172211848576748,0.0345905638051122,0.028707776968493765,0.005882786836618432,-0.1654603468672154,-0.21406589394838754,0.04860554708117215
351.15,78.0,0.1562544072151047,0.15563535210762486,0.0006190551074798378,0.04895780926999,0.04649640436962518,0.002461404900364818,-0.2351308840029347,-0.20692750550251862,-0.02820337850041607
353.15,80.0,0.1454845468170229,0.1459877819136252,-0.0005032350966023003,0.0758375638324048,0.07137612246451473,0.004461441367890062,-0.1707006276030898,-0.19013175683418104,0.01943112923109125
355.15,82.0,0.1315240718421558,0.13300706903346637,-0.0014829971913105644,0.1391013506573272,0.10439087046444374,0.03471048019288346,-0.1982998807102769,-0.16208220169888587,-0.03621767901139103
357.15,84.0,0.1145417625350146,0.11687364311528203,-0.0023318805802674397,0.1534463064350984,0.14506011452020282,0.008386191914895591,-0.1033641935272077,-0.12291272697794879,0.01954853345074109
359.15,86.0,0.0951518364076074,0.09864586934909542,-0.0034940329414880206,0.2140959920620399,0.1907356051342447,0.023360386927795213,-0.1123029019508889,-0.07542579998316795,-0.036877101967720954
361.15,88.0,0.0749643425546165,0.08009781087590576,-0.005133468321289261,0.2652268530729643,0.2370192260590115,0.028207627013952796,-0.0696552903977519,-0.024803647576317686,-0.04485164282143421
363.15,90.0,0.0552808420364523,0.06308669028098715,-0.007805848244534848,0.3031036407171653,0.27933595221245106,0.023767688504714224,-0.0126867780574282,0.023182436815027477,-0.035869214872455674
365.15,92.0,0.0401016093419602,0.048875467487723215,-0.008773858145763015,0.3486518013838163,0.31460207991856115,0.034049721465255145,-0.002302228557363,0.06428321447880754,-0.06658544303617055
367.15,94.0,0.0292315364805911,0.037875566051020014,-0.008644029570428913,0.3513042157330471,0.3418452103898629,0.009459005343184224,0.0795552572852268,0.09673399186639192,-0.017178734581165117
369.15,96.0,0.0220489936157251,0.029836525617269363,-0.0077875320015442645,0.3780496048254121,0.36172209177385933,0.016327513051552778,0.1626234981121827,0.12084246085571197,0.04178103725647074
371.15,98.0,0.0162492783158273,0.024193196698343723,-0.007943918382516423,0.382895594978583,0.37565533834771603,0.00724025663086697,0.1578736048678631,0.13800459823478423,0.01986900663307886
373.15,100.0,0.0125682326426657,0.020335187886475228,-0.007766955243809527,0.4035209619718387,0.38516855294475016,0.018352409027088512,0.1746204911685005,0.14988072825485532,0.024739762913645186
