wavelength,original,predicted,residual
330.0,0.359595,0.40322169374850186,-0.043626693748501866
329.5,0.364532,0.4031550717455702,-0.03862307174557017
329.0,0.359207,0.4023262107522966,-0.04311921075229658
328.5,0.375066,0.418489698132565,-0.04342369813256497
328.0,0.381205,0.4254361847947874,-0.04423118479478738
327.5,0.374616,0.4179914528487549,-0.04337545284875488
327.0,0.390098,0.423546382772709,-0.03344838277270901
326.5,0.407294,0.42785396258780145,-0.02055996258780146
326.0,0.423238,0.4276466489717008,-0.00440864897170079
325.5,0.43479,0.43618668631063423,-0.0013966863106342209
325.0,0.423642,0.4286760765111469,-0.005034076511146901
324.5,0.441947,0.43898905003118793,0.002957949968812046
324.0,0.407799,0.42833416673341573,-0.02053516673341571
323.5,0.418868,0.42602569555290004,-0.007157695552900023
323.0,0.408595,0.43298202692735793,-0.024387026927357947
322.5,0.404687,0.4304125548723282,-0.025725554872328193
322.0,0.392781,0.4208098286937604,-0.028028828693760388
321.5,0.397503,0.41418899534407116,-0.01668599534407117
321.0,0.405292,0.4163115047421029,-0.011019504742102892
320.5,0.41333,0.421108652486456,-0.007778652486456039
320.0,0.410295,0.42387912540740974,-0.01358412540740972
319.5,0.422875,0.427198787860801,-0.004323787860801009
319.0,0.412087,0.42196175218293885,-0.009874752182938873
318.5,0.407486,0.417383056911231,-0.009897056911230995
318.0,0.397484,0.4143429982307226,-0.01685899823072262
317.5,0.405545,0.42014336650936207,-0.014598366509362082
317.0,0.417971,0.420009537587347,-0.0020385375873470113
316.5,0.427188,0.41918301324271307,0.008004986757286947
316.0,0.443454,0.42573597445130024,0.01771802554869978
315.5,0.441315,0.4287519633225416,0.012563036677458395
315.0,0.458971,0.43459192823905984,0.024379071760940174
314.5,0.450649,0.4369137605784217,0.013735239421578338
314.0,0.461231,0.4390725657528746,0.02215843424712538
313.5,0.453269,0.4335017763527554,0.01976722364724459
313.0,0.446444,0.429944209390534,0.016499790609465992
312.5,0.46003,0.436046745356671,0.02398325464332901
312.0,0.473993,0.44318836105178805,0.03080463894821195
311.5,0.491339,0.44955908968397984,0.041779910316020186
311.0,0.498977,0.4417770170868316,0.05719998291316841
310.5,0.488342,0.44468227899890034,0.04365972100109966
310.0,0.47109,0.4469931595385485,0.024096840461451496
309.5,0.446132,0.44348169426307615,0.002650305736923819
309.0,0.47119,0.45370919326009224,0.01748080673990776
308.5,0.480762,0.4598438116414926,0.02091818835850745
308.0,0.501525,0.47376881593105336,0.027756184068946643
307.5,0.506229,0.4828602531714244,0.02336874682857565
307.0,0.501982,0.48961129718787477,0.012370702812125267
306.5,0.501535,0.49554142681221547,0.0059935731877844844
306.0,0.48889,0.5015009084112734,-0.01261090841127338
305.5,0.478421,0.49676391691129584,-0.01834291691129586
305.0,0.48519,0.5094903061260471,-0.024300306126047055
304.5,0.505142,0.5254556140613266,-0.02031361406132659
304.0,0.513077,0.5289572583056862,-0.01588025830568618
303.5,0.54064,0.5369078147103219,0.003732185289678114
303.0,0.565122,0.5523340470489354,0.012787952951064607
302.5,0.576638,0.5506722458325533,0.02596575416744673
302.0,0.593004,0.5638086567326888,0.029195343267311213
301.5,0.566673,0.5730412825790447,-0.0063682825790447595
301.0,0.554383,0.5728070005373831,-0.018424000537383134
300.5,0.588496,0.5936880569491304,-0.005192056949130386
300.0,0.59577,0.6037190274798773,-0.007949027479877246
299.5,0.642143,0.632071661656992,0.010071338343007996
299.0,0.658488,0.6592046199555296,-0.0007166199555296293
298.5,0.659386,0.6691528603623581,-0.009766860362358076
298.0,0.670996,0.6919958506099534,-0.020999850609953352
297.5,0.680738,0.7168633527748468,-0.03612535277484685
297.0,0.701985,0.7300268191116472,-0.02804181911164727
296.5,0.73973,0.7515538380645254,-0.01182383806452536
296.0,0.770417,0.7806412565008679,-0.01022425650086789
295.5,0.771047,0.7961465698560469,-0.02509956985604689
295.0,0.803165,0.8050725863223053,-0.0019075863223052547
294.5,0.868472,0.8389787877725888,0.029493212227411192
294.0,0.883666,0.8638102179787497,0.019855782021250268
293.5,0.890646,0.881270604877383,0.009375395122617092
293.0,0.888208,0.896332850955837,-0.008124850955837037
292.5,0.93483,0.9226128398414692,0.012217160158530804
292.0,0.956915,0.9498569199790486,0.007058080020951318
291.5,0.99495,0.9783863212516725,0.016563678748327537
291.0,1.01757,1.0142144282615422,0.0033555717384579076
290.5,1.05328,1.0560031683393092,-0.00272316833930919
290.0,1.04561,1.0685696202004156,-0.022959620200415642
289.5,1.06427,1.1073304744120591,-0.04306047441205907
289.0,1.06749,1.1330775966315825,-0.06558759663158242
288.5,1.08255,1.1752300667452302,-0.09268006674523033
288.0,1.09894,1.1930616591722738,-0.09412165917227377
