T_kelvin,T_celsius,V1_exp,V1_fit,V1_resid,V2_exp,V2_fit,V2_resid,V3_exp,V3_fit,V3_resid
293.15,20.0,-0.179252407980976,-0.18003048553865175,0.0007780775576757548,0.0569816054520172,0.05853387584469277,-0.001552270392675574,0.3325196880519214,0.2658462628691541,0.06667342518276731
295.15,22.0,-0.1788318004285597,-0.17992229252991485,0.001090492101355145,0.0685735020703099,0.05735455744454853,0.011218944625761375,0.2610073338368623,0.25489894703526206,0.006108386801600252
297.15,24.0,-0.1789243009410405,-0.17980259274894503,0.0008782918079045243,0.0714049336755978,0.05604981587545923,0.015355117800138575,0.2368644389627583,0.24278736628457862,-0.005922927321820315
299.15,26.0,-0.1784457448060594,-0.1796710093909848,0.0012252645849253896,0.0576263711737407,0.05461554666997022,0.003010824503770479,0.2557414265993831,0.22947342837274257,0.026267998226640527
301.15,28.0,-0.1786204496599316,-0.179527334034597,0.0009068843746654065,0.0694432808053636,0.05304948377113876,0.016393797034224847,0.2321029347664265,0.2149361158351832,0.017166818931243277
303.15,30.0,-0.1797349167782045,-0.17937155783395908,-0.00036335894424541215,0.0479457394766919,0.0513515426379472,-0.0034058031612552997,0.2008223353909113,0.19917468052082787,0.0016476548700834204
305.15,32.0,-0.1791861604635321,-0.17920389806533651,1.773760180440176e-05,0.0554112380281805,0.04952411574018802,0.005887122287992479,0.192008134354837,0.18221140550857645,0.009796728846260538
307.15,34.0,-0.1797530356358053,-0.1790248170586928,-0.0007282185771124994,0.0454237108964504,0.04757229086102081,-0.0021485799645704143,0.1701221267339638,0.16409366837977118,0.006028458354192606
309.15,36.0,-0.1793262306533531,-0.1788350303578604,-0.0004912002954927108,0.0189250354497251,0.0455039629713828,-0.026578927521657702,0.1064364987693659,0.14489505039966527,-0.038458551630299376
311.15,38.0,-0.1798703631703994,-0.17863550085567498,-0.0012348623147244164,0.0370722970949792,0.04332981368642343,-0.006257516591444225,0.1038065345421889,0.12471527955930393,-0.020908745017115038
313.15,40.0,-0.1789132630878397,-0.178427415482495,-0.0004858476053447025,0.0210971829878469,0.04106313812084303,-0.01996595513299613,0.0459317165733431,0.10367887287663258,-0.05774715630328948
315.15,42.0,-0.1789027661125524,-0.1782121404517014,-0.0006906256608510131,0.0149669170697501,0.038719506062871376,-0.023752588993121278,0.0340402773096111,0.08193245050142586,-0.04789217319181476
317.15,44.0,-0.1789592607311956,-0.1779911494977599,-0.0009681112334357089,0.0604823509591445,0.03631625038626227,0.02416610057288223,0.0603686171575631,0.05964082104614629,0.0007277961114168091
319.15,46.0,-0.1790200312228275,-0.17776591604027536,-0.0012541151825521402,0.0366777366597377,0.03387177682995349,0.0028059598297842103,0.0094979104815035,0.0369820702108635,-0.027484159729359997
321.15,48.0,-0.1783402880968664,-0.17753775331986665,-0.000802534776999736,0.0230814204726456,0.031404680565924964,-0.008323260093279362,0.0271687862329105,0.014142008517491672,0.013026777715418828
323.15,50.0,-0.1783020075117989,-0.1773075740704714,-0.0009944334413274913,0.0022172574754736,0.028932629468017577,-0.02671537199254398,-0.0215832364590564,-0.008691562049515655,-0.012891674409540744
325.15,52.0,-0.1774019719057894,-0.17707551986078596,-0.00032645204500345026,0.0054268205895491,0.02647092239078369,-0.02104410180123459,-0.0454322853089454,-0.031334220641777516,-0.014098064667167884
327.15,54.0,-0.1769986871128935,-0.1768403747468353,-0.00015831236605817756,0.0188700520238395,0.024030540076967494,-0.005160488053127993,-0.0569643399058618,-0.053609326392254325,-0.003355013513607473
329.15,56.0,-0.1769594601524775,-0.17659862060847345,-0.00036083954400403795,0.0350232307789064,0.021615357792543415,0.013407872986362986,-0.1108372911968944,-0.07535074265455674,-0.035486548542337654
331.15,58.0,-0.1762240678015247,-0.1763429010896649,0.00011883328814021876,0.034870684994211,0.019217955217399735,0.015652729776811262,-0.0829605124839845,-0.0964030345717043,0.013442522087719788
333.15,60.0,-0.175741732271286,-0.17605952140535144,0.0003177891340654382,0.0288109052268609,0.01681310235517867,0.011997802871682228,-0.1058636986218381,-0.11661800667610298,0.010754308054264874
335.15,62.0,-0.174997491031069,-0.17572440225526564,0.0007269112241966302,0.0233484184739462,0.014347472309790166,0.009000946164156035,-0.0972128412123498,-0.1358459515213178,0.03863311030896799
337.15,64.0,-0.1743305972811921,-0.17529660891704454,0.0009660116358524429,0.0152008488634059,0.011723388828377491,0.003477460035028409,-0.1128799039204512,-0.15391918172105856,0.04103927780060736
339.15,66.0,-0.1735660277247128,-0.17470819395336806,0.0011421662286552614,0.0235511566304678,0.008773469255023722,0.014777687375444078,-0.221042390798288,-0.17062427353281012,-0.050418117265477874
341.15,68.0,-0.1733790367611269,-0.17384870523817186,0.0004696684770449655,0.022392810182663,0.0052220808798877204,0.01717072930277528,-0.1685974751090142,-0.18565811155270073,0.017060636443686522
343.15,70.0,-0.1718306921927941,-0.17254262222293848,0.0007119300301443865,0.0166636299190194,0.0006293523211169372,0.016034277597902463,-0.1450897909047022,-0.19856202135837003,0.053472230453667835
345.15,72.0,-0.1697911435687446,-0.17051902020162732,0.0007278766328827069,-0.0014148735468764,-0.005683855374021374,0.004268981827144974,-0.2083758270207998,-0.20863018718839044,0.00025436016759064484
347.15,74.0,-0.1670083968687949,-0.167376793498662,0.000368396629867096,-0.0061074692559871,-0.014721453025806186,0.008613983769819086,-0.205456698284289,-0.21479837250793724,0.009341674223648233
349.15,76.0,-0.1630994522116718,-0.16255910245855953,-0.0005403497531122625,-0.0345905638051122,-0.02787368252259141,-0.0067168812825207855,-0.165460346867214,-0.21554648896192852,0.050086142094714514
351.15,78.0,-0.1562544072151049,-0.15537061616820785,-0.0008837910468970367,-0.0489578092699901,-0.046870789582810886,-0.002087019687179212,-0.2351308840029346,-0.20890513302968616,-0.026225750973248446
353.15,80.0,-0.1454845468170231,-0.14509579578827386,-0.0003887510287492457,-0.0758375638324049,-0.07348406972066623,-0.0023534941117386715,-0.1707006276030901,-0.19273346856633305,0.022032840963242956
355.15,82.0,-0.1315240718421558,-0.13127462064061304,-0.00024945120154276634,-0.1391013506573273,-0.1088358573713005,-0.03026549328602679,-0.1982998807102762,-0.1654519435312166,-0.03284793717905962
357.15,84.0,-0.1145417625350146,-0.11409937412945423,-0.00044238840556036496,-0.1534463064350986,-0.1524133294143962,-0.0010329770207024025,-0.1033641935272085,-0.12718041927194193,0.023816225744733424
359.15,86.0,-0.0951518364076074,-0.09469662084861713,-0.00045521555899026567,-0.21409599206204,-0.20137724841337754,-0.012718743648662462,-0.1123029019508893,-0.08066553015166048,-0.03163737179922882
361.15,88.0,-0.0749643425546165,-0.07495442130340038,-9.921251216113425e-06,-0.2652268530729644,-0.2510089783080022,-0.014217874764962224,-0.0696552903977529,-0.03100226354190863,-0.038653026855844264
363.15,90.0,-0.0552808420364523,-0.05684911192984388,0.00156826989339158,-0.3031036407171651,-0.29639767376987874,-0.006705966947286368,-0.0126867780574275,0.016124877807002544,-0.028811655864430043
365.15,92.0,-0.0401016093419602,-0.04172444293295339,0.001622833590993189,-0.3486518013838165,-0.33423099876654466,-0.014420802617271855,-0.0023022285573634,0.056521412403591806,-0.05882364096095521
367.15,94.0,-0.0292315364805912,-0.030017911676786257,0.0007863751961950556,-0.3513042157330471,-0.3634617586924711,0.012157542959424006,0.0795552572852266,0.0884354831871218,-0.008880225901895203
369.15,96.0,-0.0220489936157251,-0.02146269268830051,-0.0005863009274245899,-0.3780496048254124,-0.38479159651147365,0.006741991686061266,0.1626234981121832,0.11215688889270975,0.05046660921947346
371.15,98.0,-0.0162492783158273,-0.015457159798751618,-0.0007921185170756823,-0.3828955949785831,-0.3997450141693011,0.016849419190717974,0.1578736048678642,0.1290504576492468,0.028823147218617395
373.15,100.0,-0.0125682326426657,-0.01135162232664497,-0.0012166103160207303,-0.403520961971839,-0.40995578693320955,0.006434824961370544,0.1746204911685008,0.1407448791356491,0.03387561203285172
